Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
"Jordan-8-Retro-Ray-Allen-Boston-Celtics-PE-Away","Jordan 8 Retro Ray Allen Boston Celtics PE Away","Jordan 8 Retro Ray Allen Boston Celtics PE Away<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13209440946&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-8-retro-ray-allen-boston-celtics-pe-away"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 8, Retro, Ray, Allen, Boston, Celtics, PE, Away","men","TRUE","https://stockx.imgix.net/Air-Jordan-8-Retro-Ray-Allen-Boston-Celtics-PE-Away.png",,,,,,,,"10000.00",,,,,,,"1"
"Air-Max-Zero-Sneakpeek-x-Staple-Pigeon","Air Max Zero Sneakpeek x Staple Pigeon","Air Max Zero Sneakpeek x Staple Pigeon<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12087056756&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-air-max-zero-sneakpeek-x-staple-pigeon"" target=""_blank"">StockX</a></h3>","Physical","Air, Max, Zero, Sneakpeek, x, Staple, Pigeon","men","TRUE","https://stockx.imgix.net/Nike-Air-Max-Zero-Sneakpeek-x-Staple-Pigeon.png",,,,,,,,"10000.00",,,,,,,"1"
"Air-Force-1-High-ALYX-Black","Air Force 1 High ALYX Black","Air Force 1 High ALYX Black<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13505940822&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-air-force-1-high-alyx-black"" target=""_blank"">StockX</a></h3>","Physical","Air, Force, 1, High, ALYX, Black","men","TRUE","https://stockx.imgix.net/Nike-Air-Force-1-High-ALYX-Black.png",,,,,,,,"10000.00",,,,,,,"1"
"Jordan-8-Retro-Ray-Allen-Boston-Celtics-PE-Home","Jordan 8 Retro Ray Allen Boston Celtics PE Home","Jordan 8 Retro Ray Allen Boston Celtics PE Home<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13209511882&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-8-retro-ray-allen-boston-celtics-pe-home"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 8, Retro, Ray, Allen, Boston, Celtics, PE, Home","men","TRUE","https://stockx.imgix.net/Air-Jordan-8-Retro-Ray-Allen-Boston-Celtics-PE-Home.png",,,,,,,,"10000.00",,,,,,,"1"
"Jordan-13-Retro-Kansas-Jayhawks-PE","Jordan 13 Retro Kansas Jayhawks PE","Jordan 13 Retro Kansas Jayhawks PE<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13502245976&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-13-retro-kansas-jayhawks-pe"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 13, Retro, Kansas, Jayhawks, PE","men","TRUE","https://stockx.imgix.net/Air-Jordan-13-Retro-Kansas-Jayhawks-PE.jpg",,,,,,,,"10000.00",,,,,,,"1"
"adidas-Yeezy-700-V2-Static","adidas Yeezy 700 V2 Static","adidas Yeezy 700 V2 Static<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13536845731&type=15&murl=https%3A%2F%2Fstockx.com%2Fadidas-yeezy-700-v2-static"" target=""_blank"">StockX</a></h3>","Physical","adidas, Yeezy, 700, V2, Static","men","TRUE","https://stockx.imgix.net/adidas-Yeezy-700-V2-Static.png",,,,,,,,"10000.00",,,,,,,"1"
"Jordan-Flight-23-Wolf-Grey","Jordan Flight 23 Wolf Grey","Jordan Flight 23 Wolf Grey<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13398357655&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-flight-23-wolf-grey"" target=""_blank"">StockX</a></h3>","Physical","Jordan, Flight, 23, Wolf, Grey","men","TRUE","https://stockx.imgix.net/Air-Jordan-Flight-23-Wolf-Grey.png",,,,,,,,"10000.00",,,,,,,"1"
"Jordan-5-Retro-Fab-Five-PE","Jordan 5 Retro Fab Five PE","Jordan 5 Retro Fab Five PE<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13215533719&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-5-retro-fab-five-pe"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 5, Retro, Fab, Five, PE","men","TRUE","https://stockx.imgix.net/Air-Jordan-5-Retro-Fab-Five-PE.png",,,,,,,,"9900.00",,,,,,,"1"
"Puma-Suede-Classic-The-Weeknd-Glacier-Grey","Puma Suede Classic The Weeknd Glacier Grey","Puma Suede Classic The Weeknd Glacier Grey<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13492157481&type=15&murl=https%3A%2F%2Fstockx.com%2Fpuma-suede-classic-the-weeknd-glacier-grey"" target=""_blank"">StockX</a></h3>","Physical","Puma, Suede, Classic, The, Weeknd, Glacier, Grey","men","TRUE","https://stockx.imgix.net/Puma-Suede-Classic-The-Weeknd-Glacier-Grey.png",,,,,,,,"9880.00",,,,,,,"1"
"Jordan-3-Retro-Legends-of-Summer","Jordan 3 Retro Legends of Summer","Jordan 3 Retro Legends of Summer<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13505934674&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-3-retro-legends-of-summer"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 3, Retro, Legends, of, Summer","men","TRUE","https://stockx.imgix.net/Air-Jordan-3-Retro-Legends-of-Summer.jpg",,,,,,,,"9250.00",,,,,,,"1"
